"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,3,3,"B0DHCV8K3Z",true,3278,"JPY",6491,3213,49.5,0,0,"https://www.amazon.jp/dp/B0DHCV8K3Z",0,false,false,false,false,"[adidas] ジャージ上下セット 3ストライプス ウーブン トラックスーツ メンズ","https://m.media-amazon.com/images/I/51LDPMPhkCL._AC_UL320_.jpg"
1,6,6,"B0DHCRZ6BK",true,4934,"JPY",6852,1918,27.99,0,0,"https://www.amazon.jp/dp/B0DHCRZ6BK",0,false,false,false,false,"adidas Men's Tricot Tracksuit Jersey Top and Bottom Set","https://m.media-amazon.com/images/I/61L3e+s-DIL._AC_UL320_.jpg"
1,7,7,"B09N3LHCXR",true,2841,"JPY",4688,1847,39.4,0,0,"https://www.amazon.jp/dp/B09N3LHCXR",0,false,false,false,false,"adidas Galaxy 6 GX7256 Men's Running Shoes","https://m.media-amazon.com/images/I/51EEKZOwW-L._AC_UL320_.jpg"
2,1,8,"B0DHFSS26H",true,1322,"JPY",2164,842,38.91,0,0,"https://www.amazon.jp/dp/B0DHFSS26H",0,false,false,false,false,"adidas(アディダス) 半袖 TシャツICE グラフィック Tシャツ KPJ93メンズ","https://m.media-amazon.com/images/I/71Yd1kGaIEL._AC_UL320_.jpg"
2,7,14,"B0BXRSW3QJ",true,1428,"JPY",2164,736,34.01,0,0,"https://www.amazon.jp/dp/B0BXRSW3QJ",0,false,false,false,false,"Adidas TR-ES Men's Woven Shorts, Half Pants","https://m.media-amazon.com/images/I/51QY-kseDlL._AC_UL320_.jpg"
3,1,15,"B0BN6HZGX5",true,3029,"JPY",4327,1298,30,0,0,"https://www.amazon.jp/dp/B0BN6HZGX5",0,false,false,false,false,"Adidas Men's Core Runner RUNFALCON 3.0 LSI57 Running Shoes","https://m.media-amazon.com/images/I/51Wdzl8lU9L._AC_UL320_.jpg"
3,6,20,"B09HZDVRDN",true,3045,"JPY",4688,1643,35.05,0,0,"https://www.amazon.jp/dp/B09HZDVRDN",0,false,false,false,false,"[アディダス] ランニングシューズ デュラモ SL 2.0","https://m.media-amazon.com/images/I/51ERefHsmpL._AC_UL320_.jpg"
1,8,22,"B0CYP8N7PT",true,4735,"JPY",9376,4641,49.5,0,0,"https://www.amazon.jp/dp/B0CYP8N7PT",0,false,false,false,false,"[アディダス] スウェット パーカー Z.N.E. フルジップ フード付きトラックジャケット KTJ50 メンズ","https://m.media-amazon.com/images/I/417TCxYNkkL._AC_UL320_.jpg"
1,10,24,"B0DHCW3BPY",true,2606,"JPY",4327,1721,39.77,0,0,"https://www.amazon.jp/dp/B0DHCW3BPY",0,false,false,false,false,"adidas(アディダス) スウェット パンツエッセンシャルズ フレンチテリー テーパード カフ ロゴパンツ ECQ57メンズ","https://m.media-amazon.com/images/I/71+LWtQm5nL._AC_UL320_.jpg"
1,13,27,"B0DHBZMZT2",true,2311,"JPY",4688,2377,50.7,0,0,"https://www.amazon.jp/dp/B0DHBZMZT2",0,false,false,false,false,"adidas(アディダス) ジャージトップ3ストライプス トラックトップ JZR00メンズ","https://m.media-amazon.com/images/I/71pZapIvcvL._AC_UL320_.jpg"
