"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,19,33,"B0C9ZL4BGD",true,1006,"JPY",1587,581,36.61,0,0,"https://www.amazon.jp/dp/B0C9ZL4BGD",0,false,false,false,false,"NIKE ナイキ Fleece Neck Warmer 2.0 CW5030-010","https://m.media-amazon.com/images/I/71GWiU-RZJL._AC_UL320_.jpg"
1,30,44,"B0CD6J32VG",true,1018,"JPY",1154,136,11.79,0,0,"https://www.amazon.jp/dp/B0CD6J32VG",0,false,false,false,false,"Nike Jordan Jumpman Headband","https://m.media-amazon.com/images/I/91dTWPfiW3L._AC_UL320_.jpg"
1,47,61,"B0D75179DB",true,1468,"JPY",1863,395,21.2,0,0,"https://www.amazon.jp/dp/B0D75179DB",0,false,false,false,false,"Nike Premium Keychain NW0010-759","https://m.media-amazon.com/images/I/51UHPgxVPDL._AC_UL320_.jpg"
2,13,68,"B0CGZVCKFT",true,1448,"JPY",2019,571,28.28,0,0,"https://www.amazon.jp/dp/B0CGZVCKFT",0,false,false,false,false,"Nike Arm Sleeve Lightweight Running Sleeve 2.0","https://m.media-amazon.com/images/I/31d8NEz6r0L._AC_UL320_.jpg"
2,16,71,"B0DTTVDCL9",true,970,"JPY",1154,184,15.94,0,0,"https://www.amazon.jp/dp/B0DTTVDCL9",0,false,false,false,false,"NIKE Dri-Fit Fury Classic Headband Court Purple/White BN3050-550","https://m.media-amazon.com/images/I/61oEWR5ojWL._AC_UL320_.jpg"
2,20,75,"B0DTTJXY7Z",true,1073,"JPY",1298,225,17.33,0,0,"https://www.amazon.jp/dp/B0DTTJXY7Z",0,false,false,false,false,"NIKE ナイキ Dri-Fit フューリー ワイドヘッドバンド","https://m.media-amazon.com/images/I/61VGNvDgKQL._AC_UL320_.jpg"
2,22,77,"B09LCQHG6F",true,1928,"JPY",3534,1606,45.44,0,0,"https://www.amazon.jp/dp/B09LCQHG6F",0,false,false,false,false,"PUMA(プーマ) ユニセックス大人 Vコート バルクスニーカー","https://m.media-amazon.com/images/I/61aKty7YwRL._AC_UL320_.jpg"
2,25,80,"B094YTQYSD",true,1425,"JPY",1731,306,17.68,0,0,"https://www.amazon.jp/dp/B094YTQYSD",0,false,false,false,false,"NIKE ナイキ ベースボールベルト3.0 / Free Size/ BA8011","https://m.media-amazon.com/images/I/61HG+PtW96L._AC_UL320_.jpg"
3,8,104,"B0DLKLTHJ3",true,2271,"JPY",2524,253,10.02,0,0,"https://www.amazon.jp/dp/B0DLKLTHJ3",0,false,false,false,false,"NIKE ナイキ ピーク Dri-Fit ビーニー RN5052","https://m.media-amazon.com/images/I/51KFq1HS9pL._AC_UL320_.jpg"
3,15,111,"B09BKC7YXP",true,844,"JPY",938,94,10.02,0,0,"https://www.amazon.jp/dp/B09BKC7YXP",0,false,false,false,false,"NIKE Mens Durafeel X Left Hand / S M L XL / GF1012","https://m.media-amazon.com/images/I/51lGALUofcL._AC_UL320_.jpg"
3,18,114,"B0DWFJMPBF",true,1244,"JPY",1875,631,33.65,0,0,"https://www.amazon.jp/dp/B0DWFJMPBF",0,false,false,false,false,"Nike TW2000 Jacquard Towel, Medium","https://m.media-amazon.com/images/I/51ko3I08cLL._AC_UL320_.jpg"
3,42,138,"B0D22V1HRD",true,1543,"JPY",1803,260,14.42,0,0,"https://www.amazon.jp/dp/B0D22V1HRD",0,false,false,false,false,"Nike Refill Bottle","https://m.media-amazon.com/images/I/41rIA3NPnlL._AC_UL320_.jpg"
